Season,Lg,Team,W,L,W/L%,Finish,SRS,Pace,Rel_Pace,ORtg,Rel_ORtg,DRtg,Rel_DRtg,Playoffs,Coaches,Top WS,
2016-17,NBA,Philadelphia 76ers,28,54,.341,4,-5.83,98.5,2.1,103.2,-5.6,108.9,0.1,,B. Brown (28-54),T. McConnell (3.8),
2015-16,NBA,Philadelphia 76ers,10,72,.122,5,-9.92,97.9,2.1,98.8,-7.6,109.2,2.8,,B. Brown (10-72),N. Noel (3.0),
2014-15,NBA,Philadelphia 76ers,18,64,.220,4,-9.04,95.7,1.8,95.5,-10.1,104.8,-0.8,,B. Brown (18-64),N. Noel (4.0),
2013-14,NBA,Philadelphia 76ers,19,63,.232,5,-10.66,99.2,5.3,99.4,-7.3,109.9,3.2,,B. Brown (19-63),T. Young (3.5),
2012-13,NBA,Philadelphia 76ers,34,48,.415,4,-3.51,91.0,-1.0,102.0,-3.9,105.7,-0.2,,D. Collins (34-48),T. Young (7.4),
2011-12,NBA,Philadelphia 76ers,35,31,.530,3,3.59,89.7,-1.6,103.9,-0.7,99.2,-5.4,Lost E. Conf. Semis,D. Collins (35-31),A. Iguodala (7.3),
2010-11,NBA,Philadelphia 76ers,41,41,.500,3,1.01,91.7,-0.4,106.6,-0.7,105.0,-2.3,Lost E. Conf. 1st Rnd.,D. Collins (41-41),E. Brand (9.4),
2009-10,NBA,Philadelphia 76ers,27,55,.329,4,-3.93,91.6,-1.1,106.1,-1.5,110.3,2.7,,E. Jordan (27-55),A. Iguodala (6.7),
2008-09,NBA,Philadelphia 76ers,41,41,.500,2,0.16,90.0,-1.7,107.9,-0.4,107.8,-0.5,Lost E. Conf. 1st Rnd.,M. Cheeks (9-14), T. DiLeo (32-27),A. Iguodala (9.2),
2007-08,NBA,Philadelphia 76ers,40,42,.488,3,0.19,90.4,-2.0,106.4,-1.1,106.0,-1.5,Lost E. Conf. 1st Rnd.,M. Cheeks (40-42),A. Iguodala (9.6),
